"id","houseno","houseno_specification","geo_long","geo_lat","address_specification_verbatim","street_id"
"3763","5",NULL,"2.33716","48.8538",NULL,"160"
"3764","15",NULL,"2.32855","48.8543",NULL,"643"
"3765","12",NULL,"2.32818","48.8662",NULL,"140"
"3766","40",NULL,"2.31594","48.8609",NULL,"67"
"3767","63",NULL,"2.37139","48.8522",NULL,"169"
"3768","22",NULL,"2.37139","48.8522",NULL,"169"
"3769","24",NULL,"2.37139","48.8522",NULL,"169"
"3770","24",NULL,"2.37139","48.8522",NULL,"169"
"3771","102",NULL,"2.37139","48.8522",NULL,"169"
"3772","61",NULL,"2.37139","48.8522",NULL,"169"
"3773","61",NULL,"2.37139","48.8522","Faubourg Saint-antoine","169"
"3774","24",NULL,"2.37139","48.8522",NULL,"169"
"3775","68",NULL,"2.37139","48.8522",NULL,"169"
"3776","59",NULL,"2.37139","48.8522",NULL,"169"
"3777","24",NULL,"2.37139","48.8522",NULL,"169"
"3778","9",NULL,"2.37139","48.8522",NULL,"169"
"3779","24",NULL,"2.37139","48.8522",NULL,"169"
"3780","81",NULL,"2.37139","48.8522",NULL,"169"
"3781","40",NULL,"2.37139","48.8522",NULL,"169"
"3782","160",NULL,"2.38431","48.8545",NULL,"170"
"3783","1",NULL,"2.38431","48.8545",NULL,"170"
"3784","5",NULL,"2.38431","48.8545",NULL,"170"
"3785","24",NULL,"2.38431","48.8545",NULL,"170"
"3786","24",NULL,"2.38431","48.8545",NULL,"170"
"3787","99",NULL,"2.38431","48.8545",NULL,"170"
"3788","24",NULL,"2.38431","48.8545",NULL,"170"
"3789",NULL,NULL,"2.38431","48.8545","Im Alten Kloster hospice ","170"
"3790","47",NULL,"2.38431","48.8545",NULL,"170"
"3791","5",NULL,"2.38431","48.8545","Cour Saint-joseph","170"
"3792","22",NULL,"2.33597","48.8706",NULL,"173"
"3793","17",NULL,"2.33597","48.8706",NULL,"173"
"3794","16",NULL,"2.33597","48.8706",NULL,"173"
"3795","7",NULL,"2.33597","48.8706",NULL,"173"
"3796","18",NULL,"2.33597","48.8706",NULL,"173"
"3797","40",NULL,"2.34778","48.8685",NULL,"176"
"3798","19",NULL,"2.34778","48.8685",NULL,"176"
"3799","37",NULL,"2.33785","48.855",NULL,"561"
"3800","10",NULL,"2.33716","48.8538",NULL,"160"
"3801","13",NULL,"2.32906","48.88",NULL,"143"
"3802","89",NULL,"2.32906","48.88",NULL,"143"
"3803","31",NULL,"2.33631","48.853",NULL,"687"
"3804","37",NULL,"2.32906","48.88",NULL,"143"
"3805","50",NULL,"2.32906","48.88",NULL,"143"
"3806","6",NULL,"0","0",NULL,"898"
